#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,pcmanfm,"graphical file manager"
,gvfs,"idk 3"
,kitty,"terminal emulator"
,hsetroot,"yeah"
A,picom-jonaburg-git,"compositor"
A,betterlockscreen-git,"lockscreen"
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,notification-daemon,"notification daemon"
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,nitrogen,"wallpaper"
,feh,"image viewer"
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,python-qdarkstyle,"provides a dark Qt theme."
A,catppuccin-gtk-theme,"catppuccin theme"
A,mugshot,"account editor"
,lightdm,"display manager"
,lightdm-webkit2-greeter,"lightdm greeter"
,neovim,"a tidier vim with some useful features"
A,nerd-fonts-noto-sans-regular-complete,"idk"
A,ttf-material-design-icons,"idk 2"
A,cava-git,"music visualizer"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,firefox,"browser"
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,flameshot,"can take quick screenshots at your request."
,rofi,"menus"
,playerctl,"fdkgjkdjlfg"
,gnu-free-fonts,"asddas"
,lxappearance,"theme changer"
,bc,"lsdfgjkjklsd"
,xss-lock,"dfgklj"
,libnotify,"sdfjkl"
,vlc,"sdfjkj"
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xarchiver,"unzip"
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,neofetch,"haha i use arch btw"
,lxsession,"authenticator agent"
,noto-fonts,"fonts"
A,zsh-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,shell-color-scripts,"eye candy color script yk"
A,htop-vim-git,"is a graphical and colorful system monitor."
G,https://github.com/isostacy/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/isostacy/dwm.git,"is the window manager."
